,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,47.44577,-122.479726,Vashon Island Horse Supply,47.447338,-122.477822,"{'id': '4bf58dd8d48988d100951735', 'name': 'Pet Store', 'pluralName': 'Pet Stores', 'shortName': 'Pet Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pet_store_', 'suffix': '.png'}, 'primary': True}"
1,47.239932,-122.486346,Jimmy John's,47.23916404491977,-122.48070900314912,"{'id': '4bf58dd8d48988d1c5941735', 'name': 'Sandwich Place', 'pluralName': 'Sandwich Places', 'shortName': 'Sandwiches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}"
2,47.239932,-122.486346,Starbucks,47.23942204843334,-122.48134658997299,"{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}"
3,47.239932,-122.486346,McDonald's,47.239922186392086,-122.48173539692743,"{'id': '4bf58dd8d48988d16e941735', 'name': 'Fast Food Restaurant', 'pluralName': 'Fast Food Restaurants', 'shortName': 'Fast Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}, 'primary': True}"
4,47.239932,-122.486346,Bertolino's Coffee Bar,47.23791337637416,-122.48131412592706,"{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}"
5,47.239932,-122.486346,Shari's Cafe and Pies,47.238298,-122.48142,"{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}"
6,47.239932,-122.486346,Little Caesars Pizza,47.237946,-122.481319,"{'id': '4bf58dd8d48988d1ca941735', 'name': 'Pizza Place', 'pluralName': 'Pizza Places', 'shortName': 'Pizza', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}, 'primary': True}"
7,47.239932,-122.486346,Union Ave Compounding Pharmacy,47.238232861887006,-122.48256571480636,"{'id': '4bf58dd8d48988d10f951735', 'name': 'Pharmacy', 'pluralName': 'Pharmacies', 'shortName': 'Pharmacy', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_', 'suffix': '.png'}, 'primary': True}"
8,47.239932,-122.486346,MultiCare Pharmacy - Allenmore Hospital,47.2415613,-122.48080064,"{'id': '4bf58dd8d48988d10f951735', 'name': 'Pharmacy', 'pluralName': 'Pharmacies', 'shortName': 'Pharmacy', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_', 'suffix': '.png'}, 'primary': True}"
9,47.239932,-122.486346,Little Bird Deli,47.241564000000004,-122.480508,"{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}"
10,47.610946000000006,-122.571973,The Popes Cabin,47.613582611083984,-122.57228088378906,"{'id': '4bf58dd8d48988d1e2941735', 'name': 'Beach', 'pluralName': 'Beaches', 'shortName': 'Beach', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_', 'suffix': '.png'}, 'primary': True}"
11,47.610946000000006,-122.571973,Veterane Trail,47.60776714950668,-122.57254831326404,"{'id': '4bf58dd8d48988d159941735', 'name': 'Trail', 'pluralName': 'Trails', 'shortName': 'Trail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/hikingtrail_', 'suffix': '.png'}, 'primary': True}"
12,47.26298,-122.284076,Buy Parrots and Eggs,47.26277229999999,-122.285573,"{'id': '4bf58dd8d48988d100951735', 'name': 'Pet Store', 'pluralName': 'Pet Stores', 'shortName': 'Pet Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pet_store_', 'suffix': '.png'}, 'primary': True}"
13,47.26298,-122.284076,Military Rd,47.26230223225995,-122.28707943042721,"{'id': '4bf58dd8d48988d1f9931735', 'name': 'Road', 'pluralName': 'Roads', 'shortName': 'Road', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/highway_', 'suffix': '.png'}, 'primary': True}"
14,47.26298,-122.284076,Trout Lake,47.26502077224288,-122.27968732960964,"{'id': '4bf58dd8d48988d161941735', 'name': 'Lake', 'pluralName': 'Lakes', 'shortName': 'Lake', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/lake_', 'suffix': '.png'}, 'primary': True}"
15,47.503006,-122.142936,The Palm Steakhouse,47.504989,-122.148751,"{'id': '4bf58dd8d48988d1cc941735', 'name': 'Steakhouse', 'pluralName': 'Steakhouses', 'shortName': 'Steakhouse', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}, 'primary': True}"
